1776;0;0
Elapsed time;Relative error;best fitness;optimal
0.805454;19.7072;2126;1776
0.807115;19.7072;2126;1776
0.808896;19.7072;2126;1776
0.810574;19.7072;2126;1776
0.812233;19.7072;2126;1776
0.814022;19.7072;2126;1776
0.815604;19.7072;2126;1776
0.817183;19.7072;2126;1776
0.818777;19.7072;2126;1776
0.820489;19.7072;2126;1776
0.822022;19.7072;2126;1776
0.823695;19.7072;2126;1776
0.825293;19.7072;2126;1776
0.826818;19.7072;2126;1776
0.828365;19.7072;2126;1776
0.830034;19.7072;2126;1776
0.831553;19.7072;2126;1776
0.833043;19.7072;2126;1776
0.834585;19.7072;2126;1776
0.835952;19.7072;2126;1776
0.837567;19.7072;2126;1776
0.838967;19.7072;2126;1776
0.840415;19.7072;2126;1776
0.841967;19.7072;2126;1776
0.843531;19.7072;2126;1776
0.845072;19.7072;2126;1776
0.84664;19.7072;2126;1776
0.848183;19.7072;2126;1776
0.849676;19.7072;2126;1776
0.851211;19.7072;2126;1776
0.852659;19.7072;2126;1776
0.854309;19.7072;2126;1776
0.855876;19.7072;2126;1776
0.857257;19.7072;2126;1776
0.858809;19.7072;2126;1776
0.860387;19.7072;2126;1776
0.861859;19.7072;2126;1776
0.863356;19.7072;2126;1776
0.86502;19.7072;2126;1776
0.866509;19.7072;2126;1776
0.867938;19.7072;2126;1776
0.869593;19.7072;2126;1776
0.871013;19.7072;2126;1776
0.872561;19.7072;2126;1776
0.874011;19.7072;2126;1776
0.875375;19.7072;2126;1776
0.876842;19.7072;2126;1776
0.878382;19.7072;2126;1776
0.879825;19.7072;2126;1776
0.881255;19.7072;2126;1776
0.882729;19.7072;2126;1776
0.88418;19.7072;2126;1776
0.885705;19.7072;2126;1776
0.887223;19.7072;2126;1776
0.888541;19.7072;2126;1776
0.889986;19.7072;2126;1776
0.891301;19.7072;2126;1776
0.892788;19.7072;2126;1776
0.894073;19.7072;2126;1776
0.895571;19.7072;2126;1776
0.896972;19.7072;2126;1776
0.898419;19.7072;2126;1776
0.899827;19.7072;2126;1776
0.901295;19.7072;2126;1776
0.902764;19.7072;2126;1776
0.904078;19.7072;2126;1776
0.905541;19.7072;2126;1776
0.906961;19.7072;2126;1776
0.908443;19.7072;2126;1776
0.910013;19.7072;2126;1776
0.911465;19.7072;2126;1776
0.912931;19.7072;2126;1776
0.914518;19.7072;2126;1776
0.916051;19.7072;2126;1776
0.91749;19.7072;2126;1776
0.919001;19.7072;2126;1776
0.920482;19.7072;2126;1776
0.921955;19.7072;2126;1776
0.923428;19.7072;2126;1776
0.92497;19.7072;2126;1776
0.926296;19.7072;2126;1776
0.927812;19.7072;2126;1776
0.929285;19.7072;2126;1776
0.930578;19.7072;2126;1776
0.932146;19.7072;2126;1776
0.933594;19.7072;2126;1776
0.935061;19.7072;2126;1776
0.936571;19.7072;2126;1776
0.938039;19.7072;2126;1776
0.939587;19.7072;2126;1776
0.941021;19.7072;2126;1776
0.942528;19.7072;2126;1776
0.943926;19.7072;2126;1776
0.945403;19.7072;2126;1776
0.94679;19.7072;2126;1776
0.948384;19.7072;2126;1776
0.949859;19.7072;2126;1776
0.951411;19.7072;2126;1776
0.953033;19.7072;2126;1776
0.954545;19.7072;2126;1776
0.956028;19.7072;2126;1776
0.957514;19.7072;2126;1776
0.958992;19.7072;2126;1776
0.960391;19.7072;2126;1776
0.96178;19.7072;2126;1776
0.963165;19.7072;2126;1776
0.964586;19.7072;2126;1776
0.965857;19.7072;2126;1776
0.96737;19.7072;2126;1776
0.968799;19.7072;2126;1776
0.970245;19.7072;2126;1776
0.971761;19.7072;2126;1776
0.973057;19.7072;2126;1776
0.974515;19.7072;2126;1776
0.975889;19.7072;2126;1776
0.977275;19.7072;2126;1776
0.978855;19.7072;2126;1776
0.980343;19.7072;2126;1776
0.981755;19.7072;2126;1776
0.983303;19.7072;2126;1776
0.984756;19.7072;2126;1776
0.986108;19.7072;2126;1776
0.987444;19.7072;2126;1776
0.988944;19.7072;2126;1776
0.99036;19.7072;2126;1776
0.991773;19.7072;2126;1776
0.993098;19.7072;2126;1776
0.994501;19.7072;2126;1776
0.995926;19.7072;2126;1776
0.997455;19.7072;2126;1776
0.99893;19.7072;2126;1776
1.00032;19.7072;2126;1776
1.00285;19.7072;2126;1776
1.00439;19.7072;2126;1776
1.00589;19.7072;2126;1776
1.00742;19.7072;2126;1776
1.00886;19.7072;2126;1776
1.01032;19.7072;2126;1776
1.01193;19.7072;2126;1776
1.01346;19.7072;2126;1776
1.01502;19.7072;2126;1776
1.01643;19.7072;2126;1776
1.01792;19.7072;2126;1776
1.01943;19.7072;2126;1776
1.02094;19.7072;2126;1776
1.02244;19.7072;2126;1776
1.02387;19.7072;2126;1776
1.02546;19.7072;2126;1776
1.02687;19.7072;2126;1776
1.02835;19.7072;2126;1776
1.02984;19.7072;2126;1776
1.03133;19.7072;2126;1776
1.03279;19.7072;2126;1776
1.03441;19.7072;2126;1776
1.03584;19.7072;2126;1776
1.03738;19.7072;2126;1776
1.03889;19.7072;2126;1776
1.04027;19.7072;2126;1776
1.04171;19.7072;2126;1776
1.04316;19.7072;2126;1776
1.04536;19.7072;2126;1776
1.04709;19.7072;2126;1776
1.04872;19.7072;2126;1776
1.05023;19.7072;2126;1776
1.05181;19.7072;2126;1776
1.05352;19.7072;2126;1776
1.05485;19.7072;2126;1776
1.05631;19.7072;2126;1776
1.05785;19.7072;2126;1776
1.05927;19.7072;2126;1776
1.06088;19.7072;2126;1776
1.06251;19.7072;2126;1776
1.06411;19.7072;2126;1776
1.06565;19.7072;2126;1776
1.06731;19.7072;2126;1776
1.0689;19.7072;2126;1776
1.07062;19.7072;2126;1776
1.0721;19.7072;2126;1776
1.07367;19.7072;2126;1776
1.07531;19.7072;2126;1776
1.07695;19.7072;2126;1776
1.07862;19.7072;2126;1776
1.08025;19.7072;2126;1776
1.08201;19.7072;2126;1776
1.0838;19.7072;2126;1776
1.08564;19.7072;2126;1776
1.08738;19.7072;2126;1776
1.08891;19.7072;2126;1776
1.09047;19.7072;2126;1776
1.09199;19.7072;2126;1776
1.09353;19.7072;2126;1776
1.09537;19.7072;2126;1776
1.09713;19.7072;2126;1776
1.0989;19.7072;2126;1776
1.10068;19.7072;2126;1776
1.10237;19.7072;2126;1776
1.10408;19.7072;2126;1776
1.1058;19.7072;2126;1776
1.10743;19.7072;2126;1776
1.10913;19.7072;2126;1776
1.11079;19.7072;2126;1776
1.11274;19.7072;2126;1776
1.11435;19.7072;2126;1776
1.11618;19.7072;2126;1776
1.118;19.7072;2126;1776
1.11981;19.7072;2126;1776
1.12148;19.7072;2126;1776
1.12323;19.7072;2126;1776
1.12512;19.7072;2126;1776
1.12685;19.7072;2126;1776
1.12847;19.7072;2126;1776
1.13022;19.7072;2126;1776
1.13212;19.7072;2126;1776
1.13389;19.7072;2126;1776
1.13552;19.7072;2126;1776
1.1373;19.7072;2126;1776
1.13912;19.7072;2126;1776
1.14086;19.7072;2126;1776
1.14269;19.7072;2126;1776
1.14471;19.7072;2126;1776
1.14718;19.7072;2126;1776
1.14896;19.7072;2126;1776
1.15084;19.7072;2126;1776
1.15269;19.7072;2126;1776
1.15456;19.7072;2126;1776
1.15631;19.7072;2126;1776
1.15821;19.7072;2126;1776
1.16015;19.7072;2126;1776
1.16203;19.7072;2126;1776
1.16397;19.7072;2126;1776
1.16571;19.7072;2126;1776
1.16749;19.7072;2126;1776
1.16923;19.7072;2126;1776
1.17088;19.7072;2126;1776
1.17279;19.7072;2126;1776
1.17436;19.7072;2126;1776
1.17622;19.7072;2126;1776
1.17856;19.7072;2126;1776
1.18102;19.7072;2126;1776
1.18308;19.7072;2126;1776
1.18503;19.7072;2126;1776
1.18713;19.7072;2126;1776
1.18891;19.7072;2126;1776
1.19065;19.7072;2126;1776
1.19265;19.7072;2126;1776
1.19449;19.7072;2126;1776
1.19635;19.7072;2126;1776
1.19829;19.7072;2126;1776
1.20019;19.7072;2126;1776
1.2022;19.7072;2126;1776
1.20411;19.7072;2126;1776
1.20594;19.7072;2126;1776
1.20783;19.7072;2126;1776
1.20988;19.7072;2126;1776
1.21214;19.7072;2126;1776
1.21414;19.7072;2126;1776
1.21617;19.7072;2126;1776
1.21806;19.7072;2126;1776
1.2201;19.7072;2126;1776
1.2219;19.7072;2126;1776
1.22405;19.7072;2126;1776
1.22594;19.7072;2126;1776
1.22792;19.7072;2126;1776
1.22983;19.7072;2126;1776
1.23182;19.7072;2126;1776
1.2337;19.7072;2126;1776
1.23551;19.7072;2126;1776
1.23754;19.7072;2126;1776
1.23958;19.7072;2126;1776
1.24147;19.7072;2126;1776
1.24336;19.7072;2120;1776
1.24596;19.3694;2120;1776
1.2483;19.3694;2120;1776
1.25024;19.3694;2120;1776
1.25231;19.3694;2120;1776
1.25431;19.3694;2120;1776
1.25668;19.3694;2120;1776
1.2593;19.3694;2120;1776
1.26161;19.3694;2120;1776
1.26424;19.3694;2120;1776
1.26642;19.3694;2120;1776
1.26838;19.3694;2120;1776
1.27019;19.3694;2120;1776
1.272;19.3694;2120;1776
1.27376;19.3694;2120;1776
1.2758;19.3694;2120;1776
1.27758;19.3694;2120;1776
1.27942;19.3694;2120;1776
1.2812;19.3694;2120;1776
1.28295;19.3694;2120;1776
1.28459;19.3694;2120;1776
1.28646;19.3694;2120;1776
1.28823;19.3694;2120;1776
1.28986;19.3694;2120;1776
1.29153;19.3694;2120;1776
1.29318;19.3694;2120;1776
1.29497;19.3694;2120;1776
1.29663;19.3694;2120;1776
1.29839;19.3694;2120;1776
1.30009;19.3694;2120;1776
1.30165;19.3694;2120;1776
1.30336;19.3694;2120;1776
1.30494;19.3694;2120;1776
1.30655;19.3694;2069;1776
1.30803;16.4977;2069;1776
1.30971;16.4977;2069;1776
1.31128;16.4977;2069;1776
1.31277;16.4977;2069;1776
1.3144;16.4977;2069;1776
1.31602;16.4977;2069;1776
1.31755;16.4977;2069;1776
1.31976;16.4977;2069;1776
1.32196;16.4977;2069;1776
1.32405;16.4977;2069;1776
1.32621;16.4977;2069;1776
1.32844;16.4977;2069;1776
1.33057;16.4977;2069;1776
1.33281;16.4977;2069;1776
1.33459;16.4977;2069;1776
1.33613;16.4977;2069;1776
1.33753;16.4977;2069;1776
1.33903;16.4977;2069;1776
1.34055;16.4977;2069;1776
1.34212;16.4977;2069;1776
1.34368;16.4977;2069;1776
1.34537;16.4977;2069;1776
1.34697;16.4977;2069;1776
1.34851;16.4977;2069;1776
1.35001;16.4977;2069;1776
1.35154;16.4977;2069;1776
1.35302;16.4977;2069;1776
1.35448;16.4977;2069;1776
1.35598;16.4977;2069;1776
1.35754;16.4977;2069;1776
1.35901;16.4977;2069;1776
1.36058;16.4977;2069;1776
1.36223;16.4977;2069;1776
1.3639;16.4977;2069;1776
1.36538;16.4977;2069;1776
1.36686;16.4977;2069;1776
1.36852;16.4977;2069;1776
1.37019;16.4977;2069;1776
1.37169;16.4977;2069;1776
1.37305;16.4977;2069;1776
1.37481;16.4977;2069;1776
1.3763;16.4977;2069;1776
1.37802;16.4977;2069;1776
1.38007;16.4977;2069;1776
1.38172;16.4977;2069;1776
1.38337;16.4977;2069;1776
1.38498;16.4977;2069;1776
1.38657;16.4977;2069;1776
1.38838;16.4977;2069;1776
1.39007;16.4977;2069;1776
1.39173;16.4977;2069;1776
1.39347;16.4977;2069;1776
1.39531;16.4977;2069;1776
1.39708;16.4977;2069;1776
1.39885;16.4977;2069;1776
1.40061;16.4977;2069;1776
1.40219;16.4977;2069;1776
1.40395;16.4977;2069;1776
1.40568;16.4977;2069;1776
1.40735;16.4977;2069;1776
